id,name,symbol,price,circulating_supply,market_cap,volume_24h,percent_change_24h,last_updated
1,Bitcoin,BTC,60788.572092358576,19717281,1198585357533.792,22620530285.556362,-2.00092635,2024-06-26T20:24:00.000Z
1,Bitcoin,BTC,60788.572092358576,19717281,1198585357533.792,22620530285.556362,-2.00092635,2024-06-26T20:24:00.000Z
1,Bitcoin,BTC,60788.572092358576,19717281,1198585357533.792,22620530285.556362,-2.00092635,2024-06-26T20:24:00.000Z
1,Bitcoin,BTC,60788.572092358576,19717281,1198585357533.792,22620530285.556362,-2.00092635,2024-06-26T20:24:00.000Z
1,Bitcoin,BTC,60788.572092358576,19717281,1198585357533.792,22620530285.556362,-2.00092635,2024-06-26T20:24:00.000Z
1,Bitcoin,BTC,60788.572092358576,19717281,1198585357533.792,22620530285.556362,-2.00092635,2024-06-26T20:24:00.000Z
1,Bitcoin,BTC,60788.572092358576,19717281,1198585357533.792,22620530285.556362,-2.00092635,2024-06-26T20:24:00.000Z
1,Bitcoin,BTC,60788.572092358576,19717281,1198585357533.792,22620530285.556362,-2.00092635,2024-06-26T20:24:00.000Z
1,Bitcoin,BTC,60788.572092358576,19717281,1198585357533.792,22620530285.556362,-2.00092635,2024-06-26T20:24:00.000Z
1,Bitcoin,BTC,60750.926558325744,19717293,1197843818971.9902,22640144201.06524,-1.96102986,2024-06-26T20:34:00.000Z
1,Bitcoin,BTC,60750.926558325744,19717293,1197843818971.9902,22640144201.06524,-1.96102986,2024-06-26T20:34:00.000Z
1,Bitcoin,BTC,60750.926558325744,19717293,1197843818971.9902,22640144201.06524,-1.96102986,2024-06-26T20:34:00.000Z
1,Bitcoin,BTC,60750.926558325744,19717293,1197843818971.9902,22640144201.06524,-1.96102986,2024-06-26T20:34:00.000Z
1,Bitcoin,BTC,60750.926558325744,19717293,1197843818971.9902,22640144201.06524,-1.96102986,2024-06-26T20:34:00.000Z
1,Bitcoin,BTC,60773.14697318659,19717293,1198281945402.383,22662104407.756615,-1.95929461,2024-06-26T20:35:00.000Z
1,Bitcoin,BTC,60773.14697318659,19717293,1198281945402.383,22662104407.756615,-1.95929461,2024-06-26T20:35:00.000Z
1,Bitcoin,BTC,60775.45080000824,19717293,1198327370630.847,22655170688.46152,-1.98736107,2024-06-26T20:36:00.000Z
1,Bitcoin,BTC,60775.45080000824,19717293,1198327370630.847,22655170688.46152,-1.98736107,2024-06-26T20:36:00.000Z
1,Bitcoin,BTC,60775.45080000824,19717293,1198327370630.847,22655170688.46152,-1.98736107,2024-06-26T20:36:00.000Z
1,Bitcoin,BTC,60775.45080000824,19717293,1198327370630.847,22655170688.46152,-1.98736107,2024-06-26T20:36:00.000Z
1,Bitcoin,BTC,60775.45080000824,19717293,1198327370630.847,22655170688.46152,-1.98736107,2024-06-26T20:36:00.000Z
1,Bitcoin,BTC,60775.45080000824,19717293,1198327370630.847,22655170688.46152,-1.98736107,2024-06-26T20:36:00.000Z
1,Bitcoin,BTC,60771.22718172275,19717293,1198244092311.5918,22655385181.13785,-2.00557633,2024-06-26T20:37:00.000Z
1,Bitcoin,BTC,60771.22718172275,19717293,1198244092311.5918,22655385181.13785,-2.00557633,2024-06-26T20:37:00.000Z
1,Bitcoin,BTC,60771.22718172275,19717293,1198244092311.5918,22655385181.13785,-2.00557633,2024-06-26T20:37:00.000Z
1,Bitcoin,BTC,60771.22718172275,19717293,1198244092311.5918,22655385181.13785,-2.00557633,2024-06-26T20:37:00.000Z
1,Bitcoin,BTC,60771.22718172275,19717293,1198244092311.5918,22655385181.13785,-2.00557633,2024-06-26T20:37:00.000Z
1,Bitcoin,BTC,60771.22718172275,19717293,1198244092311.5918,22655385181.13785,-2.00557633,2024-06-26T20:37:00.000Z
1,Bitcoin,BTC,60734.70370846829,19717293,1197523948288.056,22651555726.154186,-2.04162664,2024-06-26T20:38:00.000Z
1,Bitcoin,BTC,60734.70370846829,19717293,1197523948288.056,22651555726.154186,-2.04162664,2024-06-26T20:38:00.000Z
1,Bitcoin,BTC,60734.70370846829,19717293,1197523948288.056,22651555726.154186,-2.04162664,2024-06-26T20:38:00.000Z
1,Bitcoin,BTC,60734.70370846829,19717293,1197523948288.056,22651555726.154186,-2.04162664,2024-06-26T20:38:00.000Z
1,Bitcoin,BTC,60734.70370846829,19717293,1197523948288.056,22651555726.154186,-2.04162664,2024-06-26T20:38:00.000Z
1,Bitcoin,BTC,60734.70370846829,19717293,1197523948288.056,22651555726.154186,-2.04162664,2024-06-26T20:38:00.000Z
1,Bitcoin,BTC,60734.70370846829,19717293,1197523948288.056,22651555726.154186,-2.04162664,2024-06-26T20:38:00.000Z
1,Bitcoin,BTC,60734.70370846829,19717293,1197523948288.056,22651555726.154186,-2.04162664,2024-06-26T20:38:00.000Z
